metric,criteria,rho,tau,spearman_p,kendall_p,strength
Proxemics_intimate_space_occupancy,unobtrusiveness,-0.7748966571950828,-0.5819609998490208,8.755843123572338e-06,8.440563617735755e-05,0.6784288285220519
Proxemics_intimate_space_occupancy,friendliness,-0.6268786905407461,-0.45137690661945384,0.0010451694858213416,0.002222613091746236,0.5391277985801
Proxemics_intimate_space_occupancy,avoidance foresight,-0.626469367160152,-0.42047602257347527,0.0010555012125618515,0.004270292444244798,0.5234726948668136
Proxemics_intimate_space_occupancy,smoothness,-0.5521445809072901,-0.3516483516483517,0.005149935030908483,0.0170282457490374,0.4518964662778209
Proxemics_personal_space_occupancy,unobtrusiveness,0.509471525718864,0.3663224852198817,0.010992595824139719,0.01293539433201997,0.4378970054693728
Time_to_Goal,unobtrusiveness,-0.4628788306317543,-0.3663224852198817,0.022743230119448312,0.01293539433201997,0.414600657925818
Social_Work_per_second,unobtrusiveness,0.46897507111044145,0.3296902366978935,0.02079123600870911,0.02528707607793859,0.3993326539041675
Time_to_Goal,smoothness,-0.46682629040155954,-0.3096585395331484,0.021463148067509766,0.034830565678849915,0.388242414967354
Time_to_Goal,avoidance foresight,-0.451500695169649,-0.32000211572346177,0.02678110538810674,0.028952573118228835,0.3857514054465554
