metric,criteria,rho,tau,spearman_p,kendall_p,strength
Proxemics_intimate_space_occupancy,unobtrusiveness,-0.7656794425087109,-0.5567765567765569,1.2992273400021945e-05,0.00015760793514730666,0.6612279996426339
Proxemics_intimate_space_occupancy,friendliness,-0.6457791827832675,-0.4699523717620723,0.0006534974130307551,0.0013582304638508561,0.5578657772726698
Proxemics_intimate_space_occupancy,avoidance foresight,-0.5990422857625916,-0.39122551665532046,0.0019806172791821852,0.007844462206419076,0.495133901208956
Proxemics_personal_space_occupancy,unobtrusiveness,0.5413405009315261,0.3825193723644775,0.0062976595628017685,0.009123136599879879,0.46192993664800175
Proxemics_intimate_space_occupancy,smoothness,-0.5526546914654648,-0.3606611225150787,0.005100410221555813,0.013955356163513438,0.45665790699027176
Time_to_Goal,unobtrusiveness,-0.4856398706105974,-0.3752332890813445,0.016138048406488803,0.010535476891912752,0.43043657984597095
Social_Work_per_second,unobtrusiveness,0.4717147130303652,0.33880287266568,0.019959376657695052,0.020920512945276595,0.4052587928480226
Proxemics_public_space_occupancy,unobtrusiveness,-0.4312312004531001,-0.35294233077657766,0.035385026290554,0.031892050328474794,0.3920867656148389
Time_to_Goal,smoothness,-0.46434782608695646,-0.3115942028985507,0.0222598535139937,0.03393065843664443,0.3879710144927536
